We're delighted to hear that you had a great time with us! What made your experience special?












It was a good experience.






Yes obviously❤️


My first experience was so good
Air conditioning wasn't working till the flight took off causing suffocation. Arrival gate was not ready adding to delays and inconvenience

Smooth fly
Pleasurable experience overall
"The flight on time, service was courteous and flying was a smooth experience."
I forget my bag at arrival..and i left my bag at arrival baggage belt .. but the akasa air staff MR Gaurav helped me a lot to take my bag back .. thank you so much to him
"My experience was absolutely awesome,yess flight gt bit delayed but it's understandable and happen sometimes ...."

Prompt services both up and down trip.
"On time, good food, very good stewards, colourful uniform"
Zone wise boarding.
"The flight got delayed since the boarding till departure and due to which I missed my train for departure.
It was a very disappointing experience."
"This is just a general feedback that I would like to share, usually I am of indigo, air India and spice. This was the first time I thought I should experience akasa over the feedback I’ve seen on Instagram. Happy, sweet, nice guest, happiest pictures and booked my through and flow from Bangalore to Bagdogra. Okay so my experience from the day 16 July from Bangalore to Bagdogra. I reached at the boarding counter where there was this lady Who helped me with my boarding in the luggage. However, being a lady, there was a list concerned that was shown. It was just a very over my thing. I placed my luggage and she wanted me to turn my luggage horizontally. As I kept it vertically to have the luggage tech placed. The luggage was heavy as it 15 kgs and I was literally struggling to get it horizontally. How was she just watched and pointed out okay please turn the baggage rather just giving a helping hand or you knowme to turn the back. I said okay fine. That’s maybe one of the cases as it was an early morning flight and I reached the airport late night. Publish you  me to turn the back. I said okay fine. That’s maybe one of the cases as it was a early morning flight and I reached the airport late night. Probably you must also be tired. Okay I get it. I bought the flight. I felt pretty good experience with the one of the crew members. His name was Vivek. he was polite and courtiers and smiling. Now let’s talk about the worst experience for the 23rd where I was flying back from barograph to Bangalore. The entire experience started the moment I entered the aircraft so there was this lady. I am really sorry for announcing the names, but I get a point. I feel that the need for some serious training here where your hospitality industry after the hotel industry, The airline industry is one which represent them as the best into just relations or experience. The lady was standing to welcome the passenger so called welcoming the passengers in a posture which was inappropriate to me. It sounds like it was you know list bothered or I don’t care attitude how much a verbally, the words word welcome, mam welcome, sir, welcome, mam welcome, sir. How are the posture do not say the same side with her hands folder it starts here. I be seated on my see. The journey starts ladies name for sweetie. There was a gentleman who was the only male crew member among the team Satyam or Satyam. I am not sure about the name he was extremely rude not to me, but a few passengers who were sitting just opposite of the front line of where I was having opposite, that’s 29F if I’m not wrong, it look like this. Those are the passengers who frequently do not travel and was one of the experiences in a craft, enjoying their time with your friends. They happen to ring the service button twice. Your Mr crew comes in with a very blunt a rude arrogant behaviour and answers them. Ekbar Sakti emergency Ke liye Hai, which for me extremely rude you cannot speak to a passenger in that tone. The tone was really wrong and insulting okay so then he takes round of the aircraft on and during the board, I mean on and during the journey with his folded hands for me, it’s funny because I just it took me back to my hostel days where I felt award on taking rounds of our rooms and the principal strictly showing us fingers, please be seated, do not stand. Please have a sit right buckle up mean that truly hospitality that are helping us move from destination to destination, but come on. We pay for it, and we definitely should not pay for taking up such arrogant attitude. I mean that was really bad. I felt cleared discrimination between people properly. They might think that those people are not valid or not appropriate right to be in their aircraft, but mind me correct me if I’m wrong. They are the same people pay your and be be be any nationality, cast religion, educated uneducated. It’s the same amount that every individual pays for the seat right I’m sure you must be not giving any discount their illiterate, so why is there a distinguish between other treatment treatment was not with me, but because I did not bother to speak to the team as the team looked arrogant, rude, and not at all approachable hospital. In continuation, I tried to rest for a while, however, couldn’t as your crew members were loudly, chitchatting and having their fun time in the back area where the washroom I don’t know what you call that in an aircraft, but yes, I think they need to have So that the rest of their passengers are not disturbed. Overall, it was a very bad experience with hospitality how I would see the bird is quite well maintained and comfortable."
Very good experience with Akasha airlines.. first flight with Akasha mumbai to ahmedabad is awesome ...






"Safe and on time.
Good and polite staff"
"Interior ambience, comfortable seats and food options"
First flight with ur airways .. an amazing it is .. thanks
%
Service
Good seat
Ground staff is not very helpful.  On board crew was good
Systematic passengers held at boarding time.



"This is to bring to your attention the continued lack of response from your team. After multiple emails, I have still not received any acknowledgment or resolution. It is highly unprofessional, and your staff’s behavior is extremely rude and uncooperative.This kind of experience is unacceptable. I expected at least a basic level of courtesyand communication. Unfortunately, this has been one of the worst experiences, and I can confidently say I will never consider flying with Akasa Air again."

Good


Very good


"Service to thik hai but flight ke under only water Free me milta hai,B/Fast,Naste ka Paisa lete hai.Fare me Nasta include ker dena chahiye."

Very good experience
"Crew members are full of energy, caring and very helpful. On time departure and arrival."


Food is pathetic specially paneer sandwich

Flight timings changed without prior notice. And no support from the akasa crew
"Multiple times I have travelled in akasa, the imp thing i found is its always on time and reaches the destination before time. The staff is very co oprative and helpful."

"Inspire of web check-in done, boarding passes weren't sent. Had to stand in queue for this."
Very considerate staff


"Hospitality service
On time 
Cabin crew ervice"






"Great aircraft maintenance, delightful crew, punctual service. Very value for money!"
Service needed to improve

"Cost effective
Warm hospitality of the cabin crews"
"Flight infra
Departure Timing
Friendly Staff
Food Quality (small remark - no salt pepper sachets in the package)
Spacious and comfortable seats"

Air conditioning wasn’t working while the aircraft in ground
"Neat and clean aircraft , flight schedule was perfect and very warm air crew members.  Keep it up"

Crew behaviour and pilot capabilities
Good service

Very nice experience ☺️
Good cabin crew team. Appreciated
Very good flight
It was good crew members were so nice
"Polite, decent n extra warm concern n promt positive response of your staff on ground n in air made my first flight experience with your airline exhilarating"
Seating not comfortable
Flight was delayed by 40 mins  which was unacceptable
Delay in fly... Delay in opening the gate after landing... Delay in getting checked-in luggage
"A big welcoming smile by crew member Simran at the entrance of the aircraft. Such prompt and efficient service by her and her male colleague, forgetting his name. Extremely happy to have chosen Akasa air. Keep up the service, willingness to help and all good work. 
Best Regards
Anju Kapoor"
The staff at the boarding made the process hectic and late plus the boarding started late then designated time and the landing was also late as the plane landed at approx 15:12 instead of 15:00 that's why I missed my ride at 15:00
"Punctuality, Cabin Crew attitude"

"We spent almost 30 minutes without AC, everyone in the flight were complaining, in a response crew informed that this Aircraft takes few minutes to cool down after the Engine starts. Specifically seniors and kids were suffered most. It was bad experience."
Good
"Ground staff are not good… Doesn’t know how to talk, always behind money for excess luggage. Today i paid 7300 for excess luggage, more than flight fare..Sorry to say they should know how to manage..If i were their relatives or family members they would definitely make some consideration"
Awasome experience
Hii
Time accuracy
Nice

Promptness and efficient conduct of actions by the team on ground and in air.
"On the time of booking and web check-in, sight for complimentary breakfast was asked, veg option was given from my side, but during the flight I was answered by your attendent that there was not any meal in your ticket."
"The checkin experience was smooth - the use of multiple kiosks was well done.

The welcome received from the kiosk manager, Sangam, was warm.

The delay in boarding was not communicated or handled well.

The aircraft was clean.

The seat assigned to me, 16A, had a faulty backrest - it just wouldnt stay upright. When I flagged it to the lead cabin crew, she dismissed it without enquiry. She didn't acknowledge this as an issue or that it would be rectified in the next flight.

Overall, was a good first experience flying with Akasa."

Everything was on time
Nice experience and money price every time same 4500 and 50000
सुन्दर

nothing
On time boarding and takeoff. Variety of meal options.
"Before time landing, good seat, cleanliness, flight crew attitude"
Speedy & smooth arrival at ahemdabad.😀

Good

"Send the boarding pass via app or email. I had to stand in line and waste time to get the boarding pass from the desk despite having checked in online, because your system did not allot a seat on time. The website says 6 hours before departure you will send the boarding pass but you did not do that."
Reached on time
Hassle free
"Good complimentary food and seats, low cancellation charges"
"Crews members are really nice, appreciate .flight was also ontime. good choice"
NA
All good but while checked in the staff not even allowing 1 kg extra
On time
The crew was courteous. Offered water before even asking for it. Left and reached on time.



"Nice experience, very polite and helpful crews"
Reached before scheduled time
Very Good Flight Service
We are very excited about your well proffessional service offered for our entire trip
You guys have nothing available on onboard. Your seats are so uncomfortable
"Please don't put option to change pre booked meals...
Did not get original pre booked meal."
"Smooth check in, courteous staff and fast exit from airport . Food was also good."
Experience was quite good but i lost few of my belonging and no one even tried to help

My bag exchange with someone’s bag and customer care told I can’t help this is my fault
"Always wish to fly with sky.

Thank u very much..."
The staff were very friendly and made us comfortable

"Incredible staff, warm and helpful. Excellent Check-in experience with timely updates till baggage collection."

"Affordable, Punctual and Clean. But Akasa Cafe is very expensive"
Na


Staff manners
Hospitality



F

Flying are ultimately amazing👍👍
Thanks
Nice it was good 👍

Havvy choice full flay
"The crew was very professional,  flight was on time and cleanliness was top class . The boarding experience was good as the ground staff took a lot of pain to ensure people boarded as per their sequence  - kudos to the entire team keep it up"
Excellent. Great staff



Very good and thank you




Very good



"If someone prebooked food, then he or she should be prioritized while serving. But you guys forget those customers and start selling to other customer."

Good 👍👍👍👍
Maintained the time
Ok
Good on time 😀

Overall it’s fine.

"The smooth check-in process, friendly cabin crew, and comfortable seating made the journey truly enjoyable. The in-flight service and punctuality were exceptional — thank you for making our travel experience so pleasant"
At scheduled time. Staff was very courteous.








"Reach timely in Bengaluru in advance,  but wait inside the flight around 20 minutes."

At Bangalore baggage drop at Towards gate 1 & boarding at Gate 41...Pune same story...arrival at one side whereas luggage coming another side.
Nice experience
Very good
Good
